Item ID,Item Name,SKU,Description,Rate,Account,Account Code,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Product Name,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
8884630000000124003,Hawk 069 Laptop Cooling Stand,010000000719,Check warranty,PKR 2800.00,Sales,,,,,,,,goods,Hawk 069 Laptop Cooling Stand,1,,,Active,,,PKR 1900.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000124351,Hawk 211 Laptop Cooling Stand,010000000573,Check warranty,PKR 2400.00,Sales,,,,,,,,goods,Hawk 211 Laptop Cooling Stand,1,,,Active,,,PKR 1620.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,0,Inventory,true,true,true
8884630000000124372,Keyboard Silon Cover,010000000412,,PKR 250.00,Sales,,,,,,,,goods,Keyboard Silon Cover,1,,,Active,,,PKR 150.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000124393,Cleaning Kit,010000000030,,PKR 750.00,Sales,,,,,,,,goods,Cleaning Kit,1,,,Active,,,PKR 470.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,5,Inventory,true,true,true
8884630000000124414,Kisonli B310 Speaker,010000000580,,PKR 800.00,Sales,,,,,,,,goods,Sonic B310 Speaker,1,,,Active,,,PKR 450.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000124435,HotmaiI HN88 Speaker,010000000597,,PKR 999.00,Sales,,,,,,,,goods,Hot MAI HN88 Speaker,1,,,Active,,,PKR 680.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000124456,Prime FT165 Speaker,010000000603,,PKR 1199.00,Sales,,,,,,,,goods,Sonic FT165 Speaker,1,,,Active,,,PKR 780.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000124477,Dell Simple Mouse,010000000283,,PKR 500.00,Sales,,,,,,,,goods,Dell Simple Mouse,1,,,Inactive,,,PKR 190.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,0,Inventory,true,true,true
8884630000000124498,Sound Card 5.1 Virtual,010000000610,,PKR 380.00,Sales,,,,,,,,goods,Sound Card 5.1 Virtual,1,,,Active,,,PKR 190.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000124519,Sound Card 7.1 Virtual,010000000634,,PKR 450.00,Sales,,,,,,,,goods,Sound Card 7.1 Virtual,1,,,Active,,,PKR 220.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000124540,Hawk HK 01 Wireless Mouse,010000000276,,PKR 1200.00,Sales,,,,,,,,goods,Hawk HK 01 Wireless Mouse,1,,,Active,,,PKR 680.00,Cost of Goods Sold,,Wireless,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000124561,PC Bluetooth Device 5.3,010000000627,,PKR 500.00,Sales,,,,,,,,goods,PC Bluetooth Device 5.3,1,,,Active,,,PKR 270.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000124582,Alfa Auto Wireless Wifi Adapter,010000000641,check warranty,PKR 550.00,Sales,,,,,,,,goods,Alfa Auto Wireless Wifi Adapter,1,,,Active,,,PKR 285.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000124603,Alfa U01 Wirelss Wifi Adapter,010000000658,check warranty,PKR 950.00,Sales,,,,,,,,goods,Alfa U01 Wirelss Wifi Adapter,1,,,Active,,,PKR 470.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,0,Inventory,true,true,true
8884630000000124624,Yellow USB Hub,010000000665,,PKR 500.00,Sales,,,,,,,,goods,Yellow USB Hub,1,,,Active,,,PKR 250.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000124645,"Hawk 2.5"" SSD  External case USB 2.0",010000000672,,PKR 820.00,Sales,,,,,,,,goods,"Hawk 2.5"" SSD  External case USB 2.0",1,,,Active,,,PKR 520.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000124672,"Samsung 2.5"" SDD External Case USB 3.0",010000000689,,PKR 1100.00,Sales,,,,,,,,goods,"Samsung 2.5"" SDD External Case USB 3.0",1,,,Active,,,PKR 730.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000142151,Rapoo NX1600 Wired Black Keyboard Combo,010000000696,1 month warranty,PKR 3000.00,Sales,,,,,,,,goods,Rapoo NX1600 Wired Black Keyboard Combo,1,,,Active,,,PKR 2200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142172,Bloody M590i Sports Lime Wired Headphone,010000000702,1 month warranty,PKR 7500.00,Sales,,,,,,,,goods,Bloody M590i Sports Lime Wired Headphone,1,,,Active,,,PKR 6000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000142211,Bloody BP45 Renegade Midnight MP,010000001365,,PKR 1600.00,Sales,,,,,,,,goods,Bloody BP45 Renegade Midnight MP,1,,,Active,,,PKR 1200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142242,Bloody BP45 Proxy Boom Fire MP,010000001372,,PKR 1600.00,Sales,,,,,,,,goods,Bloody BP45 Proxy Boom Fire MP,1,,,Active,,,PKR 1200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142263,Bloody BP45 Proxy Boom Ink MP,010000001389,,PKR 1600.00,Sales,,,,,,,,goods,Bloody BP45 Proxy Boom Ink MP,1,,,Active,,,PKR 1200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142284,A4 Tech FP70 Black MP,010000000351,,PKR 1700.00,Sales,,,,,,,,goods,A4 Tech FP70 Black MP,1,,,Active,,,PKR 1090.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,5,Inventory,true,true,true
8884630000000142305,A4 Tech FP20 Grey MP,010000000306,,PKR 850.00,Sales,,,,,,,,goods,A4 Tech FP20 Grey MP,1,,,Active,,,PKR 530.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000142326,Bloody S10 Black RGB Sound bar ( speaker ),010000000931,1 month warranty,PKR 6500.00,Sales,,,,,,,,goods,Bloody S10 Black RGB Sound bar ( speaker ),1,,,Active,,,PKR 5650.00,Cost of Goods Sold,,Wireless + Wired,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142347,Bloody GK30 HD Webcam,010000001396,1 month warranty,PKR 8500.00,Sales,,,,,,,,goods,Bloody GK30 HD Webcam,1,,,Active,,,PKR 7250.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142368,A4Tech PK920H HD Webcam,010000000856,1 month warranty,PKR 5500.00,Sales,,,,,,,,goods,A4 Tech PK920H HD Webcam,1,,,Active,,,PKR 4480.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142389,A4Tech PK940HA Black HD Webcam,010000001471,1 month warranty,PKR 8500.00,Sales,,,,,,,,goods,A4 Tech PK940HA Black HD Webcam,1,,,Active,,,PKR 7550.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142410,UGreen 35626 2K HD Webcam,010000002201,1 month warranty,PKR 9800.00,Sales,,,,,,,,goods,UGreen 35626 2K HD Webcam,1,,,Active,,,PKR 8250.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142433,UGreen 25906 8K DP 3M Cable,010000000894,,PKR 3499.00,Sales,,,,,,,,goods,UGreen 25906 8K DP 3M Cable,1,,,Active,,,PKR 2800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142454,Ugreen 20162 CAT6 LAN 5M Cable,010000000344,,PKR 1500.00,Sales,,,,,,,,goods,Ugreen 20162 CAT6 LAN 5M Cable,1,,,Active,,,PKR 920.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,4,Inventory,true,true,true
8884630000000142475,Ugreen 20164 CAT6 LAN 10M Cable,010000001242,,PKR 2500.00,Sales,,,,,,,,goods,Ugreen 20164 CAT6 LAN 10M Cable,1,,,Active,,,PKR 1380.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000142496,Ugreen 20166 CAT6 LAN 20M Cable,010000000887,,PKR 3150.00,Sales,,,,,,,,goods,Ugreen 20166 CAT6 LAN 20M Cable,1,,,Active,,,PKR 2050.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142517,Ugreen 35622 USB C 3.1 Card Reader,010000002164,1 month warranty,PKR 1999.00,Sales,,,,,,,,goods,Ugreen 35622 USB C 3.1 Card Reader,1,,,Active,,,PKR 1150.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142538,Ugreen 80348 Foldable Silver Laptop Stand,010000002157,,PKR 3600.00,Sales,,,,,,,,goods,Ugreen 80348 Foldable Silver Laptop Stand,1,,,Active,,,PKR 2300.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142565,Transcend RDF5W USB 3.1 Card Reader,010000001235,1 month warranty,PKR 2999.00,Sales,,,,,,,,goods,Transcend RDF5W USB 3.1 Card Reader,1,,,Active,,,PKR 2200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,3,Inventory,true,true,true
8884630000000142586,MSI Pro H610M S DDR4 Motherboard,010000002171,10 months warranty,PKR 25000.00,Sales,,,,,,,,goods,MSI Pro H610M S DDR4 Motherboard,1,,,Active,,,PKR 22500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142625,Thermalright Assassin Refined SE ARGB 120 X Black Air Cooler,010000000900,,PKR 5500.00,Sales,,,,,,,,goods,Thermalright Assassin Refined SE ARGB 120 X Black Air Cooler,1,,,Active,,,PKR 4400.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142646,Thermalright Assassin King ARGB 120 SE White Air Cooler,010000000771,,PKR 6500.00,Sales,,,,,,,,goods,Thermalright Assassin King ARGB 120 SE White Air Cooler,1,,,Active,,,PKR 5000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,2,Inventory,true,true,true
8884630000000142667,Thermalright Aqua Elite ARGB V6 240 Black Liquid Cooler,010000001990,10 months warranty,PKR 12500.00,Sales,,,,,,,,goods,Thermalright Aqua Elite ARGB V6 240 Black Liquid Cooler,1,,,Active,,,PKR 10900.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
8884630000000142688,Thermalright Aqua Elite ARGB V6 240 White Liquid Cooler,010000001983,10 months warranty,PKR 12999.00,Sales,,,,,,,,goods,Thermalright Aqua Elite ARGB V6 240 White Liquid Cooler,1,,,Active,,,PKR 11500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,1,Inventory,true,true,true
